EOGh_mean,EOGh_mav,EOGh_rms,EOGh_std,EOGh_max,EOGh_min,EOGh_ptp,EOGh_wl,EOGv_mean,EOGv_mav,EOGv_rms,EOGv_std,EOGv_max,EOGv_min,EOGv_ptp,EOGv_wl,label,subject_id,start_idx,end_idx
157.13728503853747,164.44505852134165,194.3945103261356,114.44255893528192,260.78463587441865,-49.24570222061812,310.0303380950368,640.6434917999321,0.0207879512486343,7.9385849967713265,10.35548355935934,10.355462694116785,34.805872765401666,-17.638197768540245,52.44407053394191,408.7294046787126,1,S7,0,255
-41.251861389336725,41.62722858143298,46.611978941045294,21.70162465612655,5.938408957448486,-73.71532881674258,79.65373777419107,481.7623509862024,77.18822783391963,82.73225519771412,174.81318491135738,156.84905834180623,660.6941920436558,-38.41460637461019,699.108798418266,1618.0251830942984,3,S7,508,763
-49.8972530846032,49.8972530846032,51.91084055936821,14.317803679028572,-8.89431512510835,-73.71532881674258,64.82101369163423,414.1838169213886,5.987565433462047,25.07893538225952,28.851752700932188,28.223619436488978,54.86813519232596,-50.77851252442891,105.64664771675488,400.400347228433,3,S7,636,891
-47.32178948891199,47.32178948891199,48.79492962029116,11.899302341577265,-8.89431512510835,-72.28298644782474,63.38867132271639,411.4822966486235,-35.57053769619604,40.14572909320012,45.75579786091566,28.780720732679207,21.677811912483648,-88.17767677933821,109.85548869182186,414.95689980794594,3,S7,764,1019
104.25727325719546,113.6929135849997,119.04653894643026,57.46737690288654,153.37081612067004,-45.65335846680246,199.0241745874725,552.1353448243781,-52.33933791017248,52.33933791017248,53.09422204018357,8.92132956330488,-35.07462839498417,-76.29980720909745,41.225178814113285,373.82425584308817,1,S7,1040,1295
-3.8604069885407934,18.767344927818367,22.12399300032348,21.78458914373158,48.771756124093415,-33.398410306194904,82.17016643028832,446.2984465775992,74.2333228701697,83.97038254237533,171.69065699103038,154.81309852097397,606.0511506482188,-28.496971786566608,634.5481224347855,1466.315949805335,3,S7,1548,1803
1.1201555343464251,17.093988024553227,20.142480829735963,20.11130989157976,43.21745225564506,-33.398410306194904,76.61586256183996,477.4403162404029,28.70144501983633,28.90342313010092,31.779119134065454,13.643293836549775,57.65464559248696,-5.563200118429009,63.21784571091597,404.7273588344186,3,S7,1676,1931
10.942319111654555,17.002011945137895,19.77044117773597,16.466207724337675,43.21745225564506,-28.243000263610583,71.46045251925564,472.7128897448149,40.24224182499978,40.24224182499978,41.65417182450392,10.753232224942195,64.90252678899952,16.11155010204067,48.79097668695886,408.766336795113,3,S7,1804,2059
-104.85583634700342,104.87960121866178,114.1308844293842,45.06786398980864,1.369911237898076,-167.9821294622335,169.35204070013157,540.1877230063637,-4.713961741735711,14.55305503947482,17.14634063543621,16.48561681842275,33.11447019007146,-34.192926033103014,67.30739622317446,428.7969420430974,1,S7,2078,2333
42.54776676970057,42.54776676970057,44.40075179907304,12.693080919699968,72.3479300176414,11.111346252189058,61.236583765452345,459.0939140050151,48.83062263595116,88.95695165594555,180.2932692772312,173.5546981203837,652.5345889756924,-54.88602945443037,707.4206184301228,1700.5099012509388,3,S7,2586,2841
29.254786629076243,31.10014250438217,35.33721837298222,19.821111513410496,62.50508092096533,-19.032394275664316,81.53747519662964,410.5937480523172,-26.90262805524265,27.68195919434992,29.19213523648006,11.332667972997855,20.79786721330787,-45.36741232807582,66.1652795413837,527.2486648286798,3,S7,2714,2969
-3.728796734173539,21.59205653273562,25.247749642820175,24.9708817814218,44.36661961253747,-41.73022804023906,86.09684765277653,346.6053576690015,-37.18823651295469,37.18823651295469,38.85980425269383,11.274726232340422,-9.027840777812637,-62.1058103094427,53.07796953163007,443.2413746603166,3,S7,2842,3097
15.125078804410707,35.83690754680249,45.26557204515625,42.66384890906583,95.3407061732508,-62.75254980099413,158.09325597424493,566.1108511897847,-107.19376276979406,107.19376276979406,112.03749345584936,32.58676361841726,-47.62072994757422,-156.42722603142266,108.80649608384844,404.1250874134551,1,S7,3116,3371
0.5683074350258392,18.60103283004461,26.55089060217463,26.54480774893537,87.24469175733425,-30.130962638667626,117.37565439600188,458.9243927055928,-25.719835901056307,35.14097917516481,46.78370417413078,39.07947053729512,24.8985908988075,-110.15769756691166,135.05628846571918,580.6943251754283,2,S7,3380,3635
-13.375366818545835,25.559443013221006,33.10952890192553,30.28762893619745,43.72929095981152,-76.97797625178868,120.7072672116002,579.5762114938016,123.41012807850976,123.41012807850976,213.80109319854196,174.58765059573207,704.6279933970378,0.3340585835538674,704.2939348134839,1615.0090216346025,3,S7,3644,3899
-4.059049271961946,19.957751318170907,23.40308032028567,23.04839012784901,43.72929095981152,-52.276468831163534,96.00575979097503,509.54076493984144,21.57523867398168,23.88634158420493,32.209164974055255,23.91525422166014,78.35181518157748,-19.9004647705484,98.25227995212587,408.5854066194822,3,S7,3772,4027
-0.7599997419275848,22.55196991713419,27.11527889481184,27.10462598774789,62.55061522986271,-52.522351352727256,115.07296658258996,521.9823183651018,24.660677467681047,29.277940120061487,34.380544304948295,23.95564262422365,99.14559897164224,-30.400792382937684,129.54639135457992,562.4464021196328,1,S7,4154,4409
