Modelo,Accuracy,F1-macro,Precision-macro,Recall-macro
Random Forest,0.919 ± 0.071,0.899 ± 0.085,0.905 ± 0.085,0.903 ± 0.080
SVM (RBF),0.902 ± 0.048,0.879 ± 0.055,0.885 ± 0.062,0.881 ± 0.046
