EOGh_mean,EOGh_mav,EOGh_rms,EOGh_std,EOGh_max,EOGh_min,EOGh_ptp,EOGh_wl,EOGv_mean,EOGv_mav,EOGv_rms,EOGv_std,EOGv_max,EOGv_min,EOGv_ptp,EOGv_wl,subject_id,label,start_idx,end_idx
-69.173583930675,78.18019564124637,87.73545912502571,53.967824433313226,23.094368940882227,-113.8807963813804,136.97516532226263,311.38822677895763,-5.525384263854152,25.69275051977284,26.614478129109706,26.034603412028613,41.41999511473682,-30.57828650296056,71.99828161769739,225.61217931250906,S1,1,0,255
-41.74047919905265,43.13909893065413,64.59213160539969,49.293771021932635,8.568964188458294,-131.2034619800946,139.7724261685529,367.0465478220344,-13.848445420397772,13.848445420397772,14.811156210682702,5.2527048018624445,-1.7528121148591476,-28.574866912344913,26.822054797485766,249.14082230421846,S1,2,267,522
-30.30209054023405,33.839570235271026,37.527317521953805,22.13781536839169,32.206375507847845,-65.27273546003191,97.47911096787976,283.99517024582076,115.33451854291158,116.21274653443577,245.3432941695762,216.54394664006193,848.807127425359,-5.539902699522351,854.3470301248814,1777.321391665336,S1,3,531,786
-57.1923655915782,57.1923655915782,58.75673093927122,13.46798977981398,-21.35265677742527,-80.49895776224395,59.14630098481868,249.14476152485778,22.556492358981473,22.556492358981473,26.97420569289956,14.792309664892276,99.21881370278038,8.401684075312872,90.81712962746751,224.0652143849948,S1,3,659,914
264.7994672943539,307.40166811247104,332.4346277776013,200.9826456842946,397.45431837830245,-104.35351183311978,501.80783021142224,705.8511647185923,-168.07039762836175,175.7091225628231,197.28025983513749,103.30460958574764,27.924147693411708,-245.4410518842399,273.3651995776516,496.93901979218845,S1,1,1041,1296
13.694188074364746,194.50788271981972,224.26735005504443,223.84886310565832,393.3900320964584,-148.63680107320928,542.0268331696677,726.9341469413462,-76.53682400291822,76.53682400291822,118.12783478833697,89.97944167045578,-2.0708392174108043,-229.81311729891755,227.74227808150675,461.133787356211,S1,2,1306,1561
-120.87005932249204,120.87005932249204,122.04651415904362,16.905040010331117,-69.59015930000001,-144.58917074682137,74.99901144682136,312.39157937024794,113.01422343757751,129.011257217901,260.32078753310185,234.50948322542447,851.9602862649384,-32.40605529564449,884.3663415605829,1842.2117566713414,S1,3,1570,1825
-119.57214149061103,119.57214149061103,119.74080931806012,6.3532980013005105,-105.01338015768093,-134.3231914957147,29.309811338033768,240.42211310665164,-12.676896061958464,29.666703971161283,34.07764131025805,31.631976598134177,104.42771661920074,-37.97144795939627,142.399164578597,277.3245325903334,S1,3,1698,1953
193.40360301822307,235.4005785711394,246.23962459465176,152.4106264670696,294.4094250244739,-111.92227705877238,406.3317020832462,656.1200174157321,124.65611400173263,134.47671370182343,145.80014516650917,75.62099954749465,177.52345172913445,-29.260068804864396,206.78352053399885,383.13598359106084,S1,1,2080,2335
-17.84269170958347,152.79171695372355,167.9541835872524,167.00373090747777,285.82425910214425,-135.40227317747724,421.2265322796215,597.41548602517,-32.367484726684665,109.49597228969375,113.37204326380896,108.65342206428109,167.3092193877597,-111.03287276294647,278.34209215070615,444.5907902327595,S1,2,2344,2599
-128.26800734251205,128.26800734251205,129.58031770478317,18.39502728603078,-67.83516592129672,-150.30704139514916,82.47187547385244,309.4556266579112,44.31324005859389,116.6466834112687,211.5364360865494,206.8429369055376,752.4347479166704,-94.95380705223833,847.3885549689087,1734.3029797156623,S1,3,2608,2863
-142.71271976999614,142.71271976999614,142.8825677544873,6.964752972374738,-123.33592112922082,-156.31944796575266,32.98352683653184,199.79219605494637,-38.56117982563815,38.56117982563815,39.46172278496489,8.382301331508831,-6.040162810706762,-51.802777768863955,45.762614958157194,210.42754163711723,S1,3,2736,2991
-156.8566220028271,156.8566220028271,157.2143669418745,10.599872961341575,-138.81694510938112,-176.62008585730928,37.803140747928154,199.0329169464277,-40.75414262908946,40.75414262908946,40.958403537053414,4.085422728671196,-29.882136950121243,-50.821431139458625,20.93929418933738,248.05556377827602,S1,3,2864,3119
16.976114098077062,214.65843012461124,248.93108795518407,248.35156150240059,430.0008054072195,-153.5548214173808,583.5556268246003,744.5684357366459,-78.58358854384912,78.58358854384912,81.274701846195,20.74118539907778,-40.49319815033122,-107.19876216834305,66.70556401801184,270.9144768577839,S1,2,3381,3636
-102.66875208712747,102.66875208712747,105.15771424367739,22.743619101340663,-39.29604178720152,-141.37135109327608,102.07530930607456,333.3882055063419,50.81767769272858,121.1555790863378,217.64531622335915,211.62950481415382,767.2181205648357,-91.98635576729431,859.20447633213,1771.1140192676457,S1,3,3645,3900
-97.67706031491474,97.67706031491474,97.80833664023244,5.0658271353792035,-86.76340447670955,-107.46490089328877,20.701496416579218,241.64001967884852,-34.66651752438149,36.69075373946059,38.3806372717279,16.471365459964144,40.82730272572215,-55.955559123057625,96.78286184877977,257.01127895453425,S1,3,3773,4028
-89.39788194155847,89.39788194155847,89.89135241831382,9.406058896087476,-64.06716971294861,-107.46490089328877,43.39773118034016,242.81983711167322,-44.17733014253435,44.17733014253435,44.444886263990156,4.869436979420432,-31.340242037284938,-55.955559123057625,24.615317085772688,217.13562593097492,S1,3,3901,4156
106.2260773128088,132.20672450207974,138.66128116218854,89.12334931022663,191.00436181142754,-78.64715204226621,269.65151385369376,438.95077995488174,102.31941252050169,117.81725302333832,124.59064595952172,71.0884440824969,178.6906011956284,-46.05539645874671,224.74599765437512,493.46763937525134,S1,1,4176,4431
90.77461250385426,90.77461250385426,95.51942721491852,29.730972070237147,135.43125648780753,38.0410346390035,97.39022184880403,284.31862459690694,98.81905560835264,117.14832907656466,220.4989560159459,197.11566110483298,804.4539718015877,-39.61451720722046,844.0684890088082,1722.4452271766045,S1,3,4682,4937
123.49340959008771,123.49340959008771,124.65479547662822,16.976331262520937,153.9328384084591,90.6676230933179,63.265215315141205,231.08554096647256,32.451871872633824,32.451871872633824,34.8836320250707,12.796241449062153,95.41360085535132,17.950939319305864,77.46266153604546,253.1682528570417,S1,3,4810,5065
149.57987355816635,149.57987355816635,150.09419882295273,12.414908240781621,172.02599813057728,126.4482873497174,45.577710780859874,245.89087051246977,31.011141489370047,31.011141489370047,31.53984866783268,5.750752778207255,43.6341430656995,17.950939319305864,25.683203746393634,222.081036387916,S1,3,4938,5193
-342.46655770778636,402.96811912730993,423.6401180425705,249.37443025880282,191.31915601588997,-507.6409899947333,698.9601460106232,879.1373392103687,-136.19941963313852,152.8956997712835,162.90760233816872,89.37899636473415,53.42596765805036,-194.35175319791725,247.7777208559676,415.91587043674394,S1,1,5214,5469
-139.3494388115711,215.36102341058645,302.88048613537296,268.92066262096716,81.30635885618265,-530.7496332594211,612.0559921156038,839.0384165983965,-99.64777446245421,99.64777446245421,118.58685411314814,64.28968045598714,-31.13443368400698,-205.0070297555942,173.87259607158722,401.7832206584084,S1,2,5478,5733
59.606015990315626,59.606015990315626,64.46227084709173,24.54602249909444,137.78877338088517,27.073091197807052,110.71568218307812,360.9153669127105,54.71356020035679,124.53793848733467,223.84389760539855,217.0541794699611,779.8370855962573,-83.58451575740827,863.4216013536657,1817.0544951968304,S1,3,5741,5996
39.39457592929665,39.39457592929665,42.08596701908611,14.808646369013099,71.14356065524379,2.7031212258329633,68.44043942941083,245.91886161477805,-34.33180818303912,45.4366250286229,49.024647981440886,34.996329187319105,141.67933134138374,-64.44579104365368,206.12512238503743,399.7297420725586,S1,3,5869,6124
290.65622658431784,306.76822234056834,332.1763755802148,160.81076593740116,402.0917583338435,-56.67853521664383,458.7702935504873,694.5666227875308,144.68547977019236,164.98193422925823,173.69322233159502,96.1012353073682,209.29607832889405,-64.44208334705961,273.7381616759537,522.0446965771334,S1,1,6251,6506
-27.276592611780472,159.32809813942606,183.05962462444884,181.01605913049562,360.1750448176524,-144.4428367417971,504.61788155944953,666.5966721394642,-34.102727726843085,104.01862574303487,111.81663521982838,106.48926647072453,190.12239416869443,-110.12372934447885,300.2461235131733,488.44119408801356,S1,2,6515,6770
-134.14808354955244,134.14808354955244,136.24187423569109,23.79369612389305,-65.10297370130927,-162.9502653295652,97.84729162825595,327.62371853191195,87.52632486689791,122.20134747837653,236.40295153533566,219.6030463129155,781.734036189767,-77.45240805086308,859.1864442406302,1755.887471743214,S1,3,6779,7034
-154.47967355981766,154.47967355981766,154.90405438469463,11.458469429579424,-124.67696378133444,-169.10011120080674,44.4231474194723,200.7039267178767,-12.256210188008108,14.685350677588097,15.422266281137581,9.361175624550555,27.740654506338057,-25.22286352217617,52.96351802851423,219.3211334820772,S1,3,6907,7162
266.8431217023324,326.7970308310124,338.52781713499036,208.31666129797605,385.9832372376415,-179.87328808523355,565.8565253228751,740.402825307487,-124.31165412415761,125.24009405311006,137.59340836417232,58.97930716942758,6.882563683948427,-172.8045355907568,179.68709927470525,368.95569380413485,S1,1,7289,7544
-17.992451233867847,185.94623622581753,210.14774933265278,209.3760928286139,378.51676593164797,-147.2636097077493,525.7803756393973,739.9509539903801,-56.900333476907605,56.900333476907605,74.86142833418648,48.64756419854183,-9.238387015757953,-150.2485822668353,141.01019525107736,319.3825556274096,S1,2,7553,7808
-90.07551529420377,90.07551529420377,92.38285427245215,20.51812145418758,-24.062354768219567,-125.9297098094809,101.86735504126133,352.81742511478313,118.15543308496322,124.05117869979348,234.8593683282979,202.97343797667688,809.7689909058976,-24.25607816702892,834.0250690729265,1752.8400945668193,S1,3,7817,8072
-87.10381202578927,87.10381202578927,87.47474329529946,8.047151368932242,-69.1326395272669,-103.24700494933582,34.114365422068914,227.12910516135926,29.75031284776793,29.75031284776793,30.38085877199659,6.157553506380338,56.83384912162707,17.51254776332783,39.32130135829924,267.97005223510797,S1,3,7945,8200
97.68551792475213,126.80641563887242,131.39309783249982,87.8731230001176,165.04471704823618,-80.90835819116184,245.953075239398,417.2266233034209,-97.14936016503844,112.13591550932563,119.45719456072513,69.51275531758598,44.17916611310968,-143.81459482341768,187.99376093652737,418.1993462238612,S1,1,8326,8581
-14.700069051509153,74.94832591252496,83.46501126943717,82.16030718107214,158.61112983580702,-73.16325057423114,231.77438041003816,496.87726597546975,-18.35606755492065,34.09131324031631,58.25085744596097,55.28306410745388,37.20113356940874,-133.42876236833155,170.6298959377403,375.48018468726013,S1,2,8590,8845
-52.73727457473154,53.442748873716255,56.62352083897139,20.615600467383935,9.063409963279563,-78.75354495865527,87.81695492193484,334.30914890041134,152.38547032059637,152.38547032059637,267.16610193577026,219.44565263118122,846.1843022063216,1.7633362992077473,844.4209659071139,1766.052896835698,S1,3,8854,9109
-62.289438637223626,62.289438637223626,62.761524945716424,7.683413809716231,-48.25578469146496,-78.75354495865527,30.49776026719031,213.4066152534495,37.668990050695115,37.668990050695115,40.340856388059414,14.437170175718865,88.51961755881081,24.624430312972688,63.895187245838116,255.85121657815077,S1,3,8982,9237
